frequency_Hz,modulationDepth_M
79.57559682,61.92830655
91.51193634,59.95055624
107.4270557,57.35475896
119.3633952,55.12978986
135.2785146,52.78121137
147.2148541,50.55624227
159.1511936,48.20766378
175.066313,45.98269468
190.9814324,43.75772559
202.9177719,41.4091471
222.8116711,38.93695921
350.132626,27.93572311
318.3023873,30.16069221
393.8992042,25.83436341
437.6657825,23.9802225
485.4111406,22.00247219
537.1352785,20.64276885
600.795756,19.28306551
668.4350133,18.66501854
755.9681698,18.29419036
827.5862069,18.54140915
903.1830239,18.91223733
970.8222812,19.77750309
1038.461538,20.76637824
1110.079576,21.7552534
1177.718833,22.86773795
1233.421751,24.10383189
1301.061008,25.58714462
1356.763926,26.94684796
1420.424403,28.55377009
1472.148541,30.16069221
1523.872679,31.76761434
1579.575597,33.49814586
1639.257294,35.35228677
1687.002653,37.08281829
1730.769231,38.68974042
1774.535809,40.42027194
1826.259947,42.39802225
1866.047745,44.12855377
1913.793103,46.35352287
1949.602122,47.96044499
1993.3687,50.18541409
2029.177719,52.1631644
2068.965517,54.2645241
2104.774536,56.11866502
2144.562334,58.34363412
2176.392573,60.32138443
2212.201592,62.42274413
2248.01061,64.64771323
2279.840849,66.62546354
2307.692308,68.72682324
2339.522546,70.95179234
2367.374005,72.92954265
2399.204244,75.03090235
2427.055703,77.13226205
2458.885942,79.97527812
2486.737401,81.95302843
2510.61008,84.05438813
2534.482759,86.15574784
2562.334218,88.50432633
2590.185676,90.60568603
2610.079576,92.83065513
2633.952255,94.93201483
2657.824934,97.28059333
2677.718833,99.50556242
