Name,Measurement #1,Measurement #2,Measurement #3,Measurement #4,Measurement #5,Measurement #6,Measurement #7,Measurement #8,Measurement #9,Measurement #10,Measurement #11,Measurement #12,Measurement #13,Measurement #14,Measurement #15,Measurement #16,Measurement #17,Measurement #18
Driving Voltage (mV peak-to-peak),20,20,20,60,60,60,100,100,100,140,140,140,180,180,180,220,220,220
Integration Time [ms],30634,31366,31239,9677,9583,9649,5666,5676,5644,4061,4055,4066,3156,3140,3152,2592,2605,2593
Luminance [cd/sqm],9.966E+00,9.974E+00,9.958E+00,3.150E+01,3.147E+01,3.139E+01,5.313E+01,5.304E+01,5.289E+01,7.471E+01,7.469E+01,7.472E+01,9.577E+01,9.577E+01,9.574E+01,1.164E+02,1.163E+02,1.165E+02
Chromaticity Coordinates,,,,,,,,,,,,,,,,,,
x,0.4682,0.4681,0.4683,0.473,0.4732,0.4736,0.4737,0.4735,0.4735,0.4735,0.4735,0.4733,0.4734,0.4734,0.4734,0.4731,0.4732,0.4731
y,0.4121,0.4122,0.4124,0.4147,0.4148,0.4151,0.4154,0.4153,0.4152,0.4154,0.4154,0.4153,0.4156,0.4155,0.4155,0.4153,0.4153,0.4154
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
380,-1.33E-08,6.34224E-07,1.37314E-06,6.41767E-06,-2.01E-06,2.94160E-06,-6.93E-06,-2.82E-06,3.35394E-06,1.23046E-07,4.40109E-06,5.19780E-07,5.33656E-06,-1.49E-06,-5.58E-07,5.08752E-06,4.14937E-06,-2.37E-07
381,-2.75E-07,3.53432E-07,4.98011E-07,3.40055E-06,-3.75E-06,1.45053E-06,-2.46E-06,-1.96E-06,2.48080E-06,2.51660E-06,5.85120E-06,-6.65E-08,8.47676E-06,-1.56E-06,-3.95E-06,1.08525E-05,2.10056E-07,6.18112E-07
382,-1.76E-07,-1.05E-07,-4.67E-08,1.35587E-06,-4.55E-06,5.69793E-07,2.51777E-06,-1.19E-06,3.11838E-06,2.83215E-06,4.57039E-06,5.36312E-07,7.72011E-06,-9.57E-07,-2.56E-06,1.16617E-05,-2.98E-06,4.48035E-08
383,2.74058E-07,-3.33E-07,3.08857E-07,1.25968E-06,-3.51E-06,9.04779E-07,5.10911E-06,-7.70E-07,5.31007E-06,-4.55E-08,1.11897E-07,1.43184E-06,2.84881E-06,3.97401E-07,3.96169E-06,5.36193E-06,-2.98E-06,-2.55E-06
384,6.80010E-07,-4.46E-07,8.72580E-07,2.37718E-06,-1.34E-06,1.19534E-06,5.19165E-06,1.43653E-07,6.39892E-06,-3.02E-06,-3.63E-06,2.05457E-06,-1.00E-06,1.75744E-06,9.05616E-06,-1.93E-06,-1.62E-06,-3.92E-06
385,6.93917E-07,-5.67E-07,9.84828E-07,3.87751E-06,1.06822E-06,3.60586E-07,3.10561E-06,2.17801E-06,4.17924E-06,-3.19E-06,-3.20E-06,2.02712E-06,6.67919E-07,2.36886E-06,6.94282E-06,-4.34E-06,-8.50E-07,-1.23E-06
386,5.03570E-07,-6.59E-07,8.52518E-07,5.17031E-06,2.76873E-06,-7.21E-07,9.84504E-07,4.46885E-06,6.18950E-07,-1.30E-06,-4.25E-07,2.03627E-06,5.35352E-06,2.07617E-06,7.19479E-07,-2.62E-06,-9.59E-07,3.60706E-06
387,4.77229E-07,-6.27E-07,9.86994E-07,5.82819E-06,2.96855E-06,-5.43E-07,1.37519E-06,5.72060E-06,-1.02E-06,5.82584E-07,1.04252E-06,3.09964E-06,8.18707E-06,9.66586E-07,-3.57E-06,1.54278E-08,-1.58E-06,7.17060E-06
388,6.61408E-07,-4.94E-07,1.42652E-06,5.59941E-06,1.73104E-06,9.26122E-07,4.51840E-06,5.42468E-06,-2.13E-08,1.45317E-06,1.71359E-07,5.01456E-06,7.09259E-06,-3.46E-07,-3.58E-06,1.95344E-06,-1.95E-06,8.56674E-06
389,6.80710E-07,-4.28E-07,1.57320E-06,4.34606E-06,2.14478E-07,1.77465E-06,7.60946E-06,3.93570E-06,1.17457E-06,1.42525E-06,-8.23E-07,5.86602E-06,3.24745E-06,-4.49E-07,-1.29E-06,3.38071E-06,-6.55E-07,9.84128E-06
390,2.62757E-07,-5.40E-07,9.52637E-07,2.14403E-06,-5.03E-07,4.70891E-07,7.92629E-06,1.82327E-06,5.30666E-07,8.39000E-07,-7.24E-08,4.15676E-06,-1.58E-06,1.55616E-06,1.11489E-06,4.40050E-06,3.01147E-06,1.22894E-05
391,-1.65E-07,-6.42E-07,1.01902E-07,2.90501E-07,-3.94E-07,-1.72E-06,5.83028E-06,5.74406E-07,-7.15E-07,9.75715E-07,1.36816E-06,1.86823E-06,-4.34E-06,3.83650E-06,2.23531E-06,5.06733E-06,6.51461E-06,1.45835E-05
