Name,Measurement #1,Measurement #2,Measurement #3,Measurement #4,Measurement #5,Measurement #6,Measurement #7,Measurement #8,Measurement #9,Measurement #10,Measurement #11,Measurement #12,Measurement #13,Measurement #14,Measurement #15,Measurement #16,Measurement #17,Measurement #18,Measurement #19,Measurement #20,Measurement #21,Measurement #22,Measurement #23,Measurement #24,Measurement #25,Measurement #26,Measurement #27
Driving Voltage (mV peak-to-peak),20,20,20,60,60,60,100,100,100,140,140,140,180,180,180,220,220,220,260,260,260,300,300,300,340,340,340
Integration Time [ms],4458,4448,4475,1396,1394,1395,918,919,910,655,657,665,509,513,512,420,422,422,358,359,357,312,313,312,278,277,277
Luminance [cd/sqm],6.826E+01,6.829E+01,6.830E+01,2.163E+02,2.163E+02,2.164E+02,3.655E+02,3.656E+02,3.655E+02,5.127E+02,5.125E+02,5.127E+02,6.569E+02,6.567E+02,6.568E+02,7.985E+02,7.984E+02,7.981E+02,9.368E+02,9.369E+02,9.369E+02,1.073E+03,1.074E+03,1.073E+03,1.208E+03,1.209E+03,1.209E+03
Chromaticity Coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,0.4688,0.4687,0.4687,0.4738,0.4738,0.4737,0.4741,0.4742,0.474,0.474,0.4741,0.4741,0.474,0.474,0.474,0.4737,0.4738,0.4738,0.4737,0.4736,0.4735,0.4732,0.4733,0.4733,0.4731,0.4731,0.4731
y,0.4202,0.4202,0.4202,0.4228,0.4229,0.4228,0.4231,0.4233,0.4231,0.4232,0.4232,0.4233,0.4232,0.4233,0.4233,0.4232,0.4232,0.4232,0.4232,0.4231,0.4231,0.423,0.4229,0.423,0.4229,0.4229,0.4229
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
380,9.61641E-06,3.74590E-07,1.09465E-06,-1.70E-06,1.36928E-05,1.48543E-05,2.80800E-05,3.54736E-05,-1.18E-05,8.10248E-06,-1.56E-06,9.09908E-06,7.76616E-05,-1.84E-05,2.51049E-06,3.82736E-05,4.05907E-05,-6.76E-06,-7.59E-06,-3.02E-07,6.62697E-05,1.23933E-05,4.92564E-05,-1.09E-05,5.45256E-05,8.83841E-05,1.68821E-05
381,5.92520E-06,4.32140E-06,4.01429E-06,4.95561E-06,4.43813E-06,1.73657E-05,3.28860E-05,1.35158E-05,-2.76E-06,2.28065E-05,1.36011E-05,-1.54E-06,7.16341E-05,3.77197E-05,3.35847E-05,2.93193E-05,5.84140E-05,2.58925E-05,-5.15E-05,5.53857E-06,6.92034E-05,2.43844E-05,3.73281E-05,-1.93E-05,7.47141E-05,7.13187E-05,6.38058E-05
382,2.20450E-06,6.55984E-06,6.12089E-06,7.07728E-06,5.59050E-06,1.65555E-05,3.22137E-05,-5.16E-07,1.36450E-05,2.93841E-05,2.62147E-05,-6.37E-06,5.55665E-05,5.53124E-05,4.44178E-05,1.73614E-05,6.26662E-05,4.53062E-05,-6.80E-05,6.06549E-06,5.55835E-05,4.14076E-05,1.15585E-05,-2.69E-05,7.57431E-05,4.27651E-05,9.16199E-05
